explorer,model,seed,mean_1st_dim,var_1st_dim,time,n_logprob,n_steps,acceptance_prob,energy_jump_dist,miness,minKSess,geyerESS
adaptive RWMH,funnel2,1,-1.6465669525914448,5.646600082161201,0.8724609990000001,131068,0,0.2685934018982513,0.19927515082194042,66.53940991235491,1.4810614948897987,3.823567367691586
adaptive RWMH,funnel2,2,-0.5825101936836659,0.9461043160678664,0.165359581,131068,0,0.14859462263863032,0.13697263022048306,87.70009269571119,2.078741011482099,3.9050230326919837
adaptive RWMH,funnel2,3,-0.5455766479328328,1.0832647534023963,0.189488666,131068,0,0.15063936277352213,0.13832028188458456,88.02367918741946,2.8796891584949096,7.983026096445908
adaptive RWMH,funnel2,4,-1.2593275976128973,1.810999866437201,0.1322485,131068,0,0.10522782067323833,0.09393043031335795,71.28327711759017,1.4808082570523728,2.2507638814679356
adaptive RWMH,funnel2,5,-0.44297348116102814,0.8720213750669353,0.146819917,131068,0,0.15817743461409345,0.14574400413881064,80.84145891560031,2.138978785283957,53.387909358556726
adaptive RWMH,funnel2,6,-1.02735292896512,1.6597097210769034,0.5633723750000001,131068,0,0.10934781945249794,0.09421674889908296,70.92404295349186,1.953130458120078,2.3635147935721212
adaptive RWMH,funnel2,7,-0.8461162922716893,1.2493150470028676,0.210039498,131068,0,0.12146366771446883,0.10870123370732238,79.01820721653202,1.9677873225306997,11.057431726784653
adaptive RWMH,funnel2,8,-1.1274984208806629,1.2769639301014166,0.165505709,131068,0,0.10080263679921872,0.091789927248675,78.03479602627873,1.2147561698862792,12.125661224774992
adaptive RWMH,funnel2,9,-0.7138112404629274,1.2174735535542005,0.188288084,131068,0,0.13739432966093937,0.12289373511697722,73.34756359614401,2.363102227254109,17.385483181548246
adaptive RWMH,funnel2,10,-0.5364604447600625,1.2221074138417973,0.13422062499999998,131068,0,0.15225684377575,0.1346312002890759,72.04471234925039,1.905870321221079,2.8506972090520417
adaptive MALA,funnel2,1,-0.09676778915943506,1.141964658717975,1.814984165,131068,65534,0.71435546875,0.2527282493908644,85.47826152918489,3.1363371409153147,11.85203038522083
adaptive MALA,funnel2,2,-0.8339033137771623,0.7114491018311135,0.26057654,131068,65534,0.506378173828125,0.17946408425280502,74.22273245402836,1.8213523219061094,2.904967938635909
adaptive MALA,funnel2,3,-0.34792342657209874,0.3502993584793998,0.261359125,131068,65534,0.769012451171875,0.26835451210031724,78.87300381687297,2.3453374665356055,47.59095807495878
adaptive MALA,funnel2,4,-0.3752040331555888,0.870269257985838,0.26876433499999997,131068,65534,0.67376708984375,0.19948547162986383,68.60403139169618,3.731740563920438,3.012433122974738
adaptive MALA,funnel2,5,0.6053958270664339,0.4662753030232162,0.29780524900000005,131068,65534,0.944244384765625,0.25717305587195366,66.4983244715957,1.020225625585732,2.678845591762258
adaptive MALA,funnel2,6,-0.16723142247655276,0.41260165374501445,0.278681419,131068,65534,0.817718505859375,0.25780262856086267,78.1293260893137,4.650043406853806,36.91727786849188
adaptive MALA,funnel2,7,-0.4337026995992636,0.3747736434443016,0.299407086,131068,65534,0.710784912109375,0.2522371363059988,88.41038060872282,3.6950404990821575,60.96021043721469
adaptive MALA,funnel2,8,0.32584977751994887,1.0248125682802793,0.307745624,131068,65534,0.813262939453125,0.22579403902533438,65.80450163683132,1.1033977328824383,1.340382948119201
adaptive MALA,funnel2,9,-0.503448208406934,0.5780878411694158,0.271686458,131068,65534,0.6458740234375,0.217722365810678,72.98708713505253,2.306707133440199,12.772015591143866
adaptive MALA,funnel2,10,-0.5226462679207917,0.4665146979393439,0.269530457,131068,65534,0.63787841796875,0.21790439217587745,87.09482229810438,2.8917434578399543,16.005213788198116
AutoStep RWMH,funnel2,1,-0.6405466769766346,2.2677334802816267,0.38025512400000006,809549,0,0.6067084311479939,-0.00035175408451213337,67.77671307031667,2.5839410006835606,19.292953122073694
AutoStep RWMH,funnel2,2,-1.869079770148698,1.7380672603472376,0.5369573320000001,942791,0,0.3027591805634772,0.0004902053562162466,66.7581747411647,1.1822197427316707,1.2609604632109888
AutoStep RWMH,funnel2,3,2.193196788861139,0.1384331897341586,0.264391793,515715,0,0.6116458459357157,-9.605234518642821e-5,67.22661722195694,0.754693829460248,2.6900139675376016
AutoStep RWMH,funnel2,4,0.08495506714184638,0.827733736696002,0.235824166,445331,0,0.5546977971024769,-0.0001399181368412001,73.46624053963743,3.0507178426235813,19.09795925214364
AutoStep RWMH,funnel2,5,-0.04482355164012086,0.7758382736461881,0.691854415,498039,0,0.5655055904775672,-6.108724530509437e-5,88.8261648585231,2.3170798933372443,39.064024084503124
AutoStep RWMH,funnel2,6,-0.14090211572808403,1.1872810830084686,0.296010083,656649,0,0.5473282522820306,-0.00022236727098042712,67.74844934209113,4.217756874912089,4.2291024138045
AutoStep RWMH,funnel2,7,-0.7057446215700655,1.1490388128372875,0.26919925100000003,510822,0,0.4685865095068781,-6.75566979034981e-6,74.24224027193317,2.465058062719117,13.975085850159791
AutoStep RWMH,funnel2,8,-0.2725436070928331,1.1868425533099745,1.16940508,506839,0,0.5224850741511307,-9.341463768055457e-5,69.63097193323611,3.501393639648016,1.8695749205036216
AutoStep RWMH,funnel2,9,0.07061800967159307,1.3833809335838447,0.249874292,498056,0,0.5390810209887127,2.444610618166458e-5,67.05268863675859,4.326309624494973,8.414632872773321
AutoStep RWMH,funnel2,10,-0.9946967435913945,1.132542183447773,0.736299959,547697,0,0.4532778557062269,3.5104956195435244e-5,72.29624692072639,1.8507158130175707,13.881483114626084
AutoStep MALA,funnel2,1,-0.38922722322936293,1.3701627442807793,1.6789590009999997,484645,969290,0.6598923136004619,-0.0006238127863682145,77.5804201326231,2.7474370586940102,60.05170321967876
AutoStep MALA,funnel2,2,-0.2978172671025531,0.6203866822496624,0.84715429,477038,954076,0.6600683507138365,0.002024049196778663,84.92254822691498,3.0173018460787566,13.943708118620533
AutoStep MALA,funnel2,3,-0.1902520959391499,0.6926871008399531,2.047150667,768297,1536594,0.6716485324636601,-0.0001618052788043856,72.48824171652714,2.416040718439137,10.743401254587685
AutoStep MALA,funnel2,4,0.16106454222190253,0.6282967010172672,1.70615504,782761,1565522,0.6634823098021643,0.0015084730611433696,67.71172743396006,3.118849931381302,4.886747862892807
AutoStep MALA,funnel2,5,0.3804910100551147,0.7881717836659666,1.2576627070000002,524273,1048546,0.6573871034319041,0.0011442795568311647,66.40161328808492,2.8132260020448188,1.6037233939754323
AutoStep MALA,funnel2,6,-0.44369682834228713,0.7225203748756014,1.0907443319999999,641063,1282126,0.6878230819576425,0.0006410682054745259,78.29949989992153,2.698819195746943,22.95772265182552
AutoStep MALA,funnel2,7,-0.3850769861534923,1.6689850211510684,0.9893502489999999,510683,1021366,0.6544207616551136,0.0010119860529572687,66.66486170805491,3.1626474258323487,1.612567860998192
AutoStep MALA,funnel2,8,0.35323332966927246,0.9261828291610236,1.3057719570000001,465982,931964,0.667718720549171,0.0005578253874198522,66.83270566585773,1.219946320652691,2.1895351506251433
AutoStep MALA,funnel2,9,0.3447021081919285,1.30483169724648,1.077695334,474439,948878,0.66363523579734,0.001584279524285684,66.2488714743688,1.1726153550892926,1.3181358415035973
AutoStep MALA,funnel2,10,-1.8084287661504355,0.4069009994685018,1.145412833,518119,1036238,0.7075770344550081,0.0008534639937351363,68.62173827691498,0.8591772185936296,6.029682441013757
DRHMC,funnel2,1,2.233982967370497,0.47938067756692804,37.36791075,64332,566585,0.976715087890625,0.5364011932378207,68.36343283879208,0.7853540966883533,5.012449729110372
DRHMC,funnel2,2,-1.0672328425701625,0.47291485636410213,49.505047251,47772,504775,0.9884033203125,0.19406326008619512,75.09980535536758,1.1991061004280812,1.8661260886149642
DRHMC,funnel2,3,-1.507503288254756,1.779921736305552e-29,53.017464165999996,31032,442740,0.999908447265625,0.0,NaN,0.754693829460248,NaN
DRHMC,funnel2,4,-0.5906162438301173,0.6713380578143422,37.279272875000004,58200,543675,0.971343994140625,0.4326831981470883,94.76776557914656,2.283015563529148,22.277261934247683
DRHMC,funnel2,5,-0.14082783512367564,0.7370964491785907,36.749018627,68544,582315,0.970733642578125,0.5694490750629991,73.05519514106525,4.216539980263223,24.624756287615096
DRHMC,funnel2,6,-0.7682004676991347,0.6256564883830721,46.446797749,59796,549625,0.9765625,0.36667218240847,78.82447687968418,1.680833384107429,1.6910041067549109
DRHMC,funnel2,7,-0.21849072021351693,0.8518507562444109,39.936498915,70260,588780,0.973876953125,0.5010882008170929,71.7658630580692,2.379005828310879,7.231878762845597
DRHMC,funnel2,8,1.6455538156275407,0.13499728922137358,25.499152543,22940,412795,0.999969482421875,0.48320221265944957,65.89464103268915,0.754693829460248,1.3490865521827946
DRHMC,funnel2,9,-0.4634930976880417,0.5327657759281627,41.769873251,76728,612955,0.9713134765625,0.551673599271361,79.43322648845147,2.9042213007740236,84.85189421195551
DRHMC,funnel2,10,0.5163767914970856,0.9264902989513812,24.997150544,44200,491845,0.98321533203125,0.5365787110537543,66.98423667193677,1.4514990123818625,1.7770544889037077
HitAndRunSlicer,funnel2,1,-0.07368858133707908,8.526660961256804,1.9485075840000001,5616388,3523197,0.99998982757744,0.7410093108392728,52.37267175164706,2.814220807165218,485.631401196056
HitAndRunSlicer,funnel2,2,0.09192822128188266,6.473152864250585,1.418403376,3545829,1798002,0.9999287973878798,0.9059328611381037,192.64320654348015,2.5392955343586676,154.92124902482084
HitAndRunSlicer,funnel2,3,-0.20164304450691517,9.336348565334863,1.412790542,3750807,2037932,0.9999389685688196,0.873821470849977,111.21071040366463,2.2900602167362587,17.261337545894747
HitAndRunSlicer,funnel2,4,0.16126631961249824,6.06461674710278,1.6485895409999998,3865319,2010859,0.9999084556467683,0.9066215501910292,294.6939647240734,2.6418002582426197,294.30582760553506
HitAndRunSlicer,funnel2,5,-0.037064234448089005,7.018618591119024,1.544650623,4216362,2047061,0.9999287973878789,0.884757756291615,139.2409162710044,2.634574825021602,101.67016753393305
HitAndRunSlicer,funnel2,6,0.3717804565844459,6.89451981709461,1.6934844569999998,3430410,1796897,0.9998779445868455,0.8927089953094439,189.33901120760237,2.8112379736030015,154.45468572250158
HitAndRunSlicer,funnel2,7,0.07707488423394665,7.80900471080191,1.5868120000000001,3425751,1834658,0.9999593115514548,0.8832945426856531,122.06740774496954,2.366423612789584,62.306654878088764
HitAndRunSlicer,funnel2,8,0.47312223638859563,6.758197085477029,1.595125705,3566878,1898327,0.9999491399566784,0.9121482811794926,217.45116031699703,2.639087241468274,195.70892081815566
HitAndRunSlicer,funnel2,9,-0.03783636435853993,6.700878935661248,1.487989792,3598618,1904048,0.9999593115514591,0.8840150434394516,141.6363041992817,2.597123230807961,90.59286022286831
HitAndRunSlicer,funnel2,10,-0.15426891340857896,7.759983709895962,1.516587124,3911223,2061513,0.9999084556467636,0.8736483196485779,123.39915592254107,2.4858543754117,54.70276017121619
NUTS,funnel2,1,0.8815826140342785,2.479244240321471,3.48051746,131068,597660,0.5925923954189716,0.4886861066163579,66.77476866607108,2.2883568008594573,92.75111348516195
NUTS,funnel2,2,2.496439861106545,0.461385695012129,2.519597877,131068,1161098,0.9018633638534039,0.41123545581422855,88.65094090547188,0.754693829460248,93.89829798128086
NUTS,funnel2,3,3.9097969354156237,0.5911956472755631,1.6748737519999999,131068,506811,0.5692964830108722,0.525184842472989,91.92292275104572,0.754693829460248,86.5810950568629
